Num of avail GPUs: 1
Device cuda
Loading ERA5 TCW ...
Start training srgan on era5-TCW:
Gen: 8061589
Disc: 5214273
Nr of Trainable Params on cuda:   13275862
[2024-07-11 10:31] Epoch: 0, Train Step: 1/2000000, Bsz = 16, Gen Loss 0.037, Disc Loss: 1.388
[2024-07-11 10:31] Epoch: 0, Train Step: 2/2000000, Bsz = 16, Gen Loss 0.142, Disc Loss: 1.329
[2024-07-11 10:31] Epoch: 0, Train Step: 3/2000000, Bsz = 16, Gen Loss 0.023, Disc Loss: 1.257
[2024-07-11 10:31] Epoch: 0, Train Step: 4/2000000, Bsz = 16, Gen Loss 0.022, Disc Loss: 1.134
[2024-07-11 10:31] Epoch: 0, Train Step: 5/2000000, Bsz = 16, Gen Loss 0.019, Disc Loss: 1.074
[2024-07-11 10:31] Epoch: 0, Train Step: 6/2000000, Bsz = 16, Gen Loss 0.042, Disc Loss: 0.978
[2024-07-11 10:31] Epoch: 0, Train Step: 7/2000000, Bsz = 16, Gen Loss 0.037, Disc Loss: 0.937
[2024-07-11 10:31] Epoch: 0, Train Step: 8/2000000, Bsz = 16, Gen Loss 0.023, Disc Loss: 0.864
[2024-07-11 10:31] Epoch: 0, Train Step: 9/2000000, Bsz = 16, Gen Loss 0.025, Disc Loss: 0.815
[2024-07-11 10:31] Epoch: 0, Train Step: 10/2000000, Bsz = 16, Gen Loss 0.025, Disc Loss: 0.773
[2024-07-11 10:31] Epoch: 0, Train Step: 11/2000000, Bsz = 16, Gen Loss 0.026, Disc Loss: 0.765
[2024-07-11 10:31] Epoch: 0, Train Step: 12/2000000, Bsz = 16, Gen Loss 0.022, Disc Loss: 0.751
[2024-07-11 10:31] Epoch: 0, Train Step: 13/2000000, Bsz = 16, Gen Loss 0.028, Disc Loss: 0.657
[2024-07-11 10:31] Epoch: 0, Train Step: 14/2000000, Bsz = 16, Gen Loss 0.037, Disc Loss: 0.617
[2024-07-11 10:31] Epoch: 0, Train Step: 15/2000000, Bsz = 16, Gen Loss 0.029, Disc Loss: 0.527
[2024-07-11 10:31] Epoch: 0, Train Step: 16/2000000, Bsz = 16, Gen Loss 0.018, Disc Loss: 0.541
[2024-07-11 10:31] Epoch: 0, Train Step: 17/2000000, Bsz = 16, Gen Loss 0.021, Disc Loss: 0.466
[2024-07-11 10:31] Epoch: 0, Train Step: 18/2000000, Bsz = 16, Gen Loss 0.021, Disc Loss: 0.445
[2024-07-11 10:31] Epoch: 0, Train Step: 19/2000000, Bsz = 16, Gen Loss 0.021, Disc Loss: 0.412
[2024-07-11 10:31] Epoch: 0, Train Step: 20/2000000, Bsz = 16, Gen Loss 0.020, Disc Loss: 0.456
[2024-07-11 10:31] Epoch: 0, Train Step: 21/2000000, Bsz = 16, Gen Loss 0.026, Disc Loss: 0.312
[2024-07-11 10:31] Epoch: 0, Train Step: 22/2000000, Bsz = 16, Gen Loss 0.021, Disc Loss: 0.367
[2024-07-11 10:31] Epoch: 0, Train Step: 23/2000000, Bsz = 16, Gen Loss 0.025, Disc Loss: 0.301
[2024-07-11 10:31] Epoch: 0, Train Step: 24/2000000, Bsz = 16, Gen Loss 0.018, Disc Loss: 0.274
[2024-07-11 10:31] Epoch: 0, Train Step: 25/2000000, Bsz = 16, Gen Loss 0.021, Disc Loss: 0.233
[2024-07-11 10:31] Epoch: 0, Train Step: 26/2000000, Bsz = 16, Gen Loss 0.020, Disc Loss: 0.223
[2024-07-11 10:31] Epoch: 0, Train Step: 27/2000000, Bsz = 16, Gen Loss 0.024, Disc Loss: 0.187
[2024-07-11 10:31] Epoch: 0, Train Step: 28/2000000, Bsz = 16, Gen Loss 0.024, Disc Loss: 0.222
[2024-07-11 10:31] Epoch: 0, Train Step: 29/2000000, Bsz = 16, Gen Loss 0.018, Disc Loss: 0.171
[2024-07-11 10:31] Epoch: 0, Train Step: 30/2000000, Bsz = 16, Gen Loss 0.016, Disc Loss: 0.177
[2024-07-11 10:31] Epoch: 0, Train Step: 31/2000000, Bsz = 16, Gen Loss 0.023, Disc Loss: 0.121
[2024-07-11 10:31] Epoch: 0, Train Step: 32/2000000, Bsz = 16, Gen Loss 0.022, Disc Loss: 0.134
[2024-07-11 10:31] Epoch: 0, Train Step: 33/2000000, Bsz = 16, Gen Loss 0.019, Disc Loss: 0.103
[2024-07-11 10:31] Epoch: 0, Train Step: 34/2000000, Bsz = 16, Gen Loss 0.015, Disc Loss: 0.112
[2024-07-11 10:31] Epoch: 0, Train Step: 35/2000000, Bsz = 16, Gen Loss 0.017, Disc Loss: 0.124
[2024-07-11 10:31] Epoch: 0, Train Step: 36/2000000, Bsz = 16, Gen Loss 0.032, Disc Loss: 0.087
[2024-07-11 10:31] Epoch: 0, Train Step: 37/2000000, Bsz = 16, Gen Loss 0.022, Disc Loss: 0.092
